Index,CPU_Usage,Memory_Usage,Net_RX,Net_TX
0,1.14,56.83,0,0
1,2.11,56.82,0,0
2,2.31,56.82,0,0
3,2.82,56.83,582,2092
4,1.15,56.83,412,178
5,3.33,56.83,6572,1572
6,1.58,56.83,0,0
7,1.80,56.84,0,155
8,1.04,56.84,0,182
9,1.44,56.83,304,110
10,2.23,56.83,0,0
11,1.76,56.83,0,0
12,1.64,56.82,0,0
13,2.65,56.83,84,84
14,3.01,56.83,0,0
15,3.14,56.82,0,155
16,2.60,56.82,0,0
17,9.58,56.86,6570,1572
18,8.31,57.10,0,0
19,2.62,57.09,0,0
20,1.71,57.04,0,0
21,2.05,57.01,0,0
22,1.25,57.01,0,0
23,1.35,57.02,0,155
24,3.39,57.01,0,0
25,2.00,57.01,0,0
26,2.02,57.01,0,0
27,2.74,57.00,0,0
28,2.60,56.96,0,0
29,2.64,56.96,6572,1572
30,2.37,56.96,0,0
31,3.49,56.96,172,337
32,2.66,56.96,0,0
33,3.23,56.99,0,0
34,1.43,56.98,0,0
35,4.24,57.00,0,0
36,4.07,56.99,0,0
37,1.75,56.99,0,0
38,2.12,56.98,0,2145
39,3.86,56.98,816,22790
40,2.79,56.98,3998,216
41,2.68,57.01,7304,1896
42,1.41,57.01,0,0
43,1.92,57.01,0,0
44,1.47,57.00,0,0
45,2.07,57.01,0,0
46,2.17,57.00,186,343
47,1.54,57.00,0,182
48,2.09,57.00,344,372
49,2.25,57.01,346,194
50,1.32,57.01,174,182
51,1.43,57.00,0,332
52,2.33,56.99,0,182
53,2.53,57.00,6682,1706
54,1.51,57.00,684,445
55,2.33,56.99,0,182
56,1.54,56.99,0,182
57,2.33,56.99,360,0
58,2.10,56.98,182,182
59,2.92,56.97,0,182
60,2.07,56.97,0,0
61,4.52,57.00,182,5323
62,3.06,56.98,7804,1370
63,3.21,56.98,174,182
64,1.49,56.98,176,0
65,1.85,57.01,6642,1936
66,1.13,57.00,360,182
67,1.27,57.00,176,182
68,2.25,56.99,176,182
69,1.91,56.98,0,2153
70,2.22,56.99,3616,548
71,4.14,56.99,592,16936
72,1.70,56.98,2104,398
73,1.64,56.99,2134,192
74,1.54,56.98,0,2170
75,1.65,56.97,756,108
76,1.28,56.96,0,108
77,2.04,56.98,7652,2059
78,1.64,56.97,0,0
79,0.74,56.96,0,0
80,1.53,56.96,0,0
81,2.45,56.96,172,182
82,2.36,56.96,0,0
83,1.39,56.95,0,0
84,2.93,56.95,268,182
85,3.75,56.99,440,337
86,3.32,56.98,0,0
87,1.66,56.97,0,0
88,0.70,56.97,0,0
89,1.97,57.00,6462,1572
90,1.39,56.98,0,0
91,1.03,56.98,0,0
92,3.07,56.97,0,2139
93,1.52,56.97,544,288
94,2.70,56.96,108,0
95,13.24,57.12,592,20240
96,13.55,57.16,0,108
97,9.36,57.21,3538,2198
98,6.21,57.01,280,108
99,2.25,57.00,304,108
